dataset,path,nodes,average_degree,global_E,global_00,global_01,global_11,global_p00,global_p01,global_p11,train_pos_shape,train_neg_shape,train_pos_neg_overlap,train_pos_E,train_pos_00,train_pos_01,train_pos_11,train_pos_p00,train_pos_p01,train_pos_p11,train_neg_E,train_neg_00,train_neg_01,train_neg_11,train_neg_p00,train_neg_p01,train_neg_p11,valid_pos_shape,valid_neg_shape,valid_pos_neg_overlap,valid_pos_E,valid_pos_00,valid_pos_01,valid_pos_11,valid_pos_p00,valid_pos_p01,valid_pos_p11,valid_neg_E,valid_neg_00,valid_neg_01,valid_neg_11,valid_neg_p00,valid_neg_p01,valid_neg_p11,test_pos_shape,test_neg_shape,test_pos_neg_overlap,test_pos_E,test_pos_00,test_pos_01,test_pos_11,test_pos_p00,test_pos_p01,test_pos_p11,test_neg_E,test_neg_00,test_neg_01,test_neg_11,test_neg_p00,test_neg_p01,test_neg_p11
credit_0,..\data\splits\credit_0.pt,30000,9.158466666666667,137377,119182,16627,1568,0.867554248527774,0.12103190490402324,0.011413846568202829,"(96162, 2)","(96162, 2)",0,96162,83427,11638,1097,0.8675672302988706,0.12102493708533517,0.011407832615794181,96162,83454,11646,1062,0.8678480064890497,0.12110813003057341,0.011043863480376864,"(13736, 2)","(13736, 2)",0,13736,11918,1662,156,0.8676470588235294,0.12099592312172394,0.011357018054746652,13736,11991,1606,139,0.8729615608619685,0.11691904484566104,0.010119394292370413,"(27479, 2)","(27479, 2)",0,27479,23837,3327,315,0.8674624258524691,0.12107427490083336,0.011463299246697478,27479,23967,3210,302,0.8721933112558681,0.1168164780377743,0.010990210706357582
german_0,../data/splits/german_0.pt,1000,43.484,21742,13339,4244,4159,0.6135130162818508,0.19519823383313403,0.19128874988501518,"(15218, 2)","(15218, 2)",0,15218,9337,2970,2911,0.6135497437245367,0.19516362202654752,0.19128663424891576,15218,9337,2970,2911,0.6135497437245367,0.19516362202654752,0.19128663424891576,"(2172, 2)","(2172, 2)",0,2172,1333,424,415,0.6137200736648251,0.19521178637200737,0.1910681399631676,2172,1333,424,415,0.6137200736648251,0.19521178637200737,0.1910681399631676,"(4352, 2)","(4352, 2)",0,4352,2669,850,833,0.61328125,0.1953125,0.19140625,4352,2669,850,833,0.61328125,0.1953125,0.19140625
nba_0,..\data\splits\nba_0.pt,403,52.70967741935484,10621,6720,2935,966,0.6327087844835703,0.2763393277469165,0.09095188776951323,"(7434, 2)","(7434, 2)",0,7434,4704,2054,676,0.632768361581921,0.2762980898574119,0.09093354856066721,7434,4656,2048,730,0.6263115415657788,0.2754909873553941,0.09819747107882701,"(1061, 2)","(1061, 2)",0,1061,672,293,96,0.6333647502356268,0.2761545711592837,0.09048067860508954,1061,650,319,92,0.6126295947219604,0.3006597549481621,0.08671065032987747,"(2126, 2)","(2126, 2)",0,2126,1344,588,194,0.632173095014111,0.27657572906867356,0.09125117591721543,2126,1326,601,199,0.6237064910630291,0.28269049858889933,0.0936030103480715
pokec_z_0,../data/splits/pokec_z_0.pt,67796,18.229925069325624,617958,150804,339461,127693,0.24403600244676824,0.5493269769142887,0.2066370206389431,"(432569, 2)","(432569, 2)",0,432569,105562,237622,89385,0.24403505567897837,0.549327390543474,0.20663755377754764,432569,105856,237464,89249,0.2447147160337426,0.548962130897036,0.20632315306922133,"(61795, 2)","(61795, 2)",0,61795,15080,33946,12769,0.24403268872886155,0.5493324702645845,0.20663484100655394,61795,15096,33838,12861,0.24429160935350758,0.547584756048224,0.20812363459826846,"(123594, 2)","(123594, 2)",0,123594,30162,67893,25539,0.24404097286276033,0.5493227826593524,0.20663624447788728,123594,30023,68280,25291,0.24291632279884137,0.5524540026214865,0.20462967457967216
facebook_0,..\data\splits\facebook_0.pt,1045,51.19425837320574,26749,11830,11351,3568,0.4422595237205129,0.4243523122359714,0.13338816404351564,"(18723, 2)","(18723, 2)",0,18723,8281,7945,2497,0.4422902312663569,0.42434438925385887,0.13336537947978422,18723,8260,7950,2513,0.4411686161405758,0.42461144047428295,0.13421994338514126,"(2674, 2)","(2674, 2)",0,2674,1183,1135,356,0.4424083769633508,0.4244577412116679,0.13313388182498131,2674,1190,1101,383,0.44502617801047123,0.4117427075542259,0.14323111443530293,"(5352, 2)","(5352, 2)",0,5352,2366,2271,715,0.44207772795216743,0.42432735426008966,0.1335949177877429,5352,2383,2239,730,0.445254110612855,0.41834828101644245,0.13639760837070253
airtraffic_0,../data/splits/airtraffic_0.pt,7698,4.899454403741231,18858,997,5089,12772,0.052868808993530594,0.2698589458054937,0.6772722452009757,"(13199, 2)","(13199, 2)",0,13199,697,3562,8940,0.05280703083566937,0.26986892946435337,0.6773240396999772,13199,697,3562,8940,0.05280703083566937,0.26986892946435337,0.6773240396999772,"(1884, 2)","(1884, 2)",0,1884,99,508,1277,0.052547770700636945,0.26963906581740976,0.6778131634819533,1884,99,508,1277,0.052547770700636945,0.26963906581740976,0.6778131634819533,"(3775, 2)","(3775, 2)",0,3775,201,1019,2555,0.05324503311258278,0.2699337748344371,0.6768211920529801,3775,201,1019,2555,0.05324503311258278,0.2699337748344371,0.6768211920529801
chameleon_0,../data/splits/chameleon_0.pt,890,19.896629213483145,8854,3124,4467,1263,0.3528348768918003,0.5045177320984866,0.14264739100971313,"(6196, 2)","(6196, 2)",0,6196,2186,3126,884,0.3528082633957392,0.5045190445448676,0.14267269205939315,6196,2186,3126,884,0.3528082633957392,0.5045190445448676,0.14267269205939315,"(884, 2)","(884, 2)",0,884,312,446,126,0.35294117647058826,0.504524886877828,0.1425339366515837,884,312,446,126,0.35294117647058826,0.504524886877828,0.1425339366515837,"(1774, 2)","(1774, 2)",0,1774,626,895,253,0.3528748590755355,0.5045095828635852,0.14261555806087936,1774,626,895,253,0.3528748590755355,0.5045095828635852,0.14261555806087936
pokec_n_0,../data/splits/pokec_n_0.pt,66569,15.534167555468763,517047,121483,281255,114309,0.23495542958377091,0.5439640883710766,0.22108048204515257,"(361932, 2)","(361932, 2)",0,361932,85038,196878,80016,0.2349557375418587,0.5439640595470973,0.22108020291104408,361932,85038,196878,80016,0.2349557375418587,0.5439640595470973,0.22108020291104408,"(51703, 2)","(51703, 2)",0,51703,12148,28125,11430,0.23495735257141753,0.5439723033479682,0.22107034408061427,51703,12148,28125,11430,0.23495735257141753,0.5439723033479682,0.22107034408061427,"(103412, 2)","(103412, 2)",0,103412,24297,56252,22863,0.23495339032220633,0.5439600820020888,0.22108652767570494,103412,24297,56252,22863,0.23495339032220633,0.5439600820020888,0.22108652767570494
pokec_n_1,../data/splits/pokec_n_1.pt,66569,15.534167555468763,517047,121483,281255,114309,0.23495542958377091,0.5439640883710766,0.22108048204515257,"(361932, 2)","(361932, 2)",0,361932,85038,196878,80016,0.2349557375418587,0.5439640595470973,0.22108020291104408,361932,85038,196878,80016,0.2349557375418587,0.5439640595470973,0.22108020291104408,"(51703, 2)","(51703, 2)",0,51703,12148,28125,11430,0.23495735257141753,0.5439723033479682,0.22107034408061427,51703,12148,28125,11430,0.23495735257141753,0.5439723033479682,0.22107034408061427,"(103412, 2)","(103412, 2)",0,103412,24297,56252,22863,0.23495339032220633,0.5439600820020888,0.22108652767570494,103412,24297,56252,22863,0.23495339032220633,0.5439600820020888,0.22108652767570494
nba_0,../data/splits/nba_0.pt,403,52.70967741935484,10621,6720,2935,966,0.6327087844835703,0.2763393277469165,0.09095188776951323,"(7434, 2)","(7434, 2)",0,7434,4704,2054,676,0.632768361581921,0.2762980898574119,0.09093354856066721,7434,4656,2048,730,0.6263115415657788,0.2754909873553941,0.09819747107882701,"(1061, 2)","(1061, 2)",0,1061,672,293,96,0.6333647502356268,0.2761545711592837,0.09048067860508954,1061,650,319,92,0.6126295947219604,0.3006597549481621,0.08671065032987747,"(2126, 2)","(2126, 2)",0,2126,1344,588,194,0.632173095014111,0.27657572906867356,0.09125117591721543,2126,1326,601,199,0.6237064910630291,0.28269049858889933,0.0936030103480715
