dataset,path,nodes,average_degree,global_E,global_00,global_01,global_11,global_p00,global_p01,global_p11,train_pos_shape,train_neg_shape,train_pos_neg_overlap,train_pos_E,train_pos_00,train_pos_01,train_pos_11,train_pos_p00,train_pos_p01,train_pos_p11,train_neg_E,train_neg_00,train_neg_01,train_neg_11,train_neg_p00,train_neg_p01,train_neg_p11,valid_pos_shape,valid_neg_shape,valid_pos_neg_overlap,valid_pos_E,valid_pos_00,valid_pos_01,valid_pos_11,valid_pos_p00,valid_pos_p01,valid_pos_p11,valid_neg_E,valid_neg_00,valid_neg_01,valid_neg_11,valid_neg_p00,valid_neg_p01,valid_neg_p11,test_pos_shape,test_neg_shape,test_pos_neg_overlap,test_pos_E,test_pos_00,test_pos_01,test_pos_11,test_pos_p00,test_pos_p01,test_pos_p11,test_neg_E,test_neg_00,test_neg_01,test_neg_11,test_neg_p00,test_neg_p01,test_neg_p11
dpah_fm0.05_hMM0.00_hmm0.00_0,../data/splits/dpah/dpah_fm0.05_hMM0.00_hmm0.00_0.pt,1000,11.606,5803,0,5803,0,0.0,1.0,0.0,"(4062, 2)","(4062, 2)",0,4062,0,4062,0,0.0,1.0,0.0,4062,0,4062,0,0.0,1.0,0.0,"(580, 2)","(580, 2)",0,580,0,580,0,0.0,1.0,0.0,580,0,580,0,0.0,1.0,0.0,"(1161, 2)","(1161, 2)",0,1161,0,1161,0,0.0,1.0,0.0,1161,0,1161,0,0.0,1.0,0.0
dpah_fm0.05_hMM0.00_hmm0.00_1,../data/splits/dpah/dpah_fm0.05_hMM0.00_hmm0.00_1.pt,1000,11.606,5803,0,5803,0,0.0,1.0,0.0,"(4062, 2)","(4062, 2)",0,4062,0,4062,0,0.0,1.0,0.0,4062,0,4062,0,0.0,1.0,0.0,"(580, 2)","(580, 2)",0,580,0,580,0,0.0,1.0,0.0,580,0,580,0,0.0,1.0,0.0,"(1161, 2)","(1161, 2)",0,1161,0,1161,0,0.0,1.0,0.0,1161,0,1161,0,0.0,1.0,0.0
dpah_fm0.05_hMM0.00_hmm0.00_2,../data/splits/dpah/dpah_fm0.05_hMM0.00_hmm0.00_2.pt,1000,11.606,5803,0,5803,0,0.0,1.0,0.0,"(4062, 2)","(4062, 2)",0,4062,0,4062,0,0.0,1.0,0.0,4062,0,4062,0,0.0,1.0,0.0,"(580, 2)","(580, 2)",0,580,0,580,0,0.0,1.0,0.0,580,0,580,0,0.0,1.0,0.0,"(1161, 2)","(1161, 2)",0,1161,0,1161,0,0.0,1.0,0.0,1161,0,1161,0,0.0,1.0,0.0
dpah_fm0.05_hMM0.00_hmm0.10_0,../data/splits/dpah/dpah_fm0.05_hMM0.00_hmm0.10_0.pt,1000,11.61,5805,0,5710,95,0.0,0.983634797588286,0.01636520241171404,"(4062, 2)","(4062, 2)",0,4062,0,3996,66,0.0,0.983751846381093,0.01624815361890694,4062,0,3983,79,0.0,0.9805514524864599,0.019448547513540127,"(580, 2)","(580, 2)",0,580,0,571,9,0.0,0.9844827586206897,0.015517241379310345,580,0,574,6,0.0,0.9896551724137931,0.010344827586206896,"(1163, 2)","(1163, 2)",0,1163,0,1143,20,0.0,0.9828030954428203,0.017196904557179708,1163,0,1142,21,0.0,0.9819432502149613,0.018056749785038694
dpah_fm0.05_hMM0.00_hmm0.10_1,../data/splits/dpah/dpah_fm0.05_hMM0.00_hmm0.10_1.pt,1000,11.61,5805,0,5710,95,0.0,0.983634797588286,0.01636520241171404,"(4062, 2)","(4062, 2)",0,4062,0,3996,66,0.0,0.983751846381093,0.01624815361890694,4062,0,3993,69,0.0,0.98301329394387,0.016986706056129987,"(580, 2)","(580, 2)",0,580,0,571,9,0.0,0.9844827586206897,0.015517241379310345,580,0,569,11,0.0,0.9810344827586207,0.01896551724137931,"(1163, 2)","(1163, 2)",0,1163,0,1143,20,0.0,0.9828030954428203,0.017196904557179708,1163,0,1138,25,0.0,0.9785038693035254,0.021496130696474634
dpah_fm0.05_hMM0.00_hmm0.10_2,../data/splits/dpah/dpah_fm0.05_hMM0.00_hmm0.10_2.pt,1000,11.61,5805,0,5710,95,0.0,0.983634797588286,0.01636520241171404,"(4062, 2)","(4062, 2)",0,4062,0,3996,66,0.0,0.983751846381093,0.01624815361890694,4062,0,3996,66,0.0,0.983751846381093,0.01624815361890694,"(580, 2)","(580, 2)",0,580,0,571,9,0.0,0.9844827586206897,0.015517241379310345,580,0,573,7,0.0,0.9879310344827587,0.01206896551724138,"(1163, 2)","(1163, 2)",0,1163,0,1143,20,0.0,0.9828030954428203,0.017196904557179708,1163,0,1139,24,0.0,0.9793637145313844,0.02063628546861565
dpah_fm0.05_hMM0.00_hmm0.20_0,../data/splits/dpah/dpah_fm0.05_hMM0.00_hmm0.20_0.pt,1000,11.698,5849,0,5682,167,0.0,0.971448110788169,0.02855188921183108,"(4093, 2)","(4093, 2)",0,4093,0,3977,116,0.0,0.9716589298802835,0.02834107011971659,4093,0,3962,131,0.0,0.96799413633032,0.03200586366967994,"(584, 2)","(584, 2)",0,584,0,568,16,0.0,0.9726027397260274,0.0273972602739726,584,0,572,12,0.0,0.9794520547945206,0.02054794520547945,"(1172, 2)","(1172, 2)",0,1172,0,1137,35,0.0,0.9701365187713311,0.029863481228668942,1172,0,1139,33,0.0,0.9718430034129693,0.028156996587030716
dpah_fm0.05_hMM0.00_hmm0.20_1,../data/splits/dpah/dpah_fm0.05_hMM0.00_hmm0.20_1.pt,1000,11.698,5849,0,5682,167,0.0,0.971448110788169,0.02855188921183108,"(4093, 2)","(4093, 2)",0,4093,0,3977,116,0.0,0.9716589298802835,0.02834107011971659,4093,0,3962,131,0.0,0.96799413633032,0.03200586366967994,"(584, 2)","(584, 2)",0,584,0,568,16,0.0,0.9726027397260274,0.0273972602739726,584,0,565,19,0.0,0.9674657534246576,0.032534246575342464,"(1172, 2)","(1172, 2)",0,1172,0,1137,35,0.0,0.9701365187713311,0.029863481228668942,1172,0,1131,41,0.0,0.9650170648464164,0.03498293515358362
dpah_fm0.05_hMM0.00_hmm0.20_2,../data/splits/dpah/dpah_fm0.05_hMM0.00_hmm0.20_2.pt,1000,11.698,5849,0,5682,167,0.0,0.971448110788169,0.02855188921183108,"(4093, 2)","(4093, 2)",0,4093,0,3977,116,0.0,0.9716589298802835,0.02834107011971659,4093,0,3981,112,0.0,0.9726362081602736,0.027363791839726363,"(584, 2)","(584, 2)",0,584,0,568,16,0.0,0.9726027397260274,0.0273972602739726,584,0,571,13,0.0,0.9777397260273972,0.02226027397260274,"(1172, 2)","(1172, 2)",0,1172,0,1137,35,0.0,0.9701365187713311,0.029863481228668942,1172,0,1126,46,0.0,0.9607508532423208,0.03924914675767918
dpah_fm0.05_hMM0.00_hmm0.30_0,../data/splits/dpah/dpah_fm0.05_hMM0.00_hmm0.30_0.pt,1000,11.732,5866,0,5679,187,0.0,0.9681213774292533,0.031878622570746674,"(4105, 2)","(4105, 2)",0,4105,0,3975,130,0.0,0.9683313032886723,0.031668696711327646,4105,0,3955,150,0.0,0.9634591961023142,0.03654080389768575,"(585, 2)","(585, 2)",0,585,0,567,18,0.0,0.9692307692307692,0.03076923076923077,585,0,571,14,0.0,0.976068376068376,0.023931623931623933,"(1176, 2)","(1176, 2)",0,1176,0,1137,39,0.0,0.9668367346938775,0.03316326530612245,1176,0,1144,32,0.0,0.9727891156462585,0.027210884353741496
